,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
25191,0.003,0.5984,0.561,0.902,0.366,0.548,0.394,0.756,0.304,0.273
11597,0.597,0.254,0.766,0.774,0.928,0.277,0.083,0.019,0.505,0.828
16781,0.893,0.151,0.167,0.705,0.113,0.164,0.687,0.29,0.877,0.487
5157,0.337,0.42299999999999993,0.924,0.435,0.348,0.226,0.528,0.671,0.535,0.221
35383,0.83,0.5509999999999999,0.602,0.044,0.221,0.253,0.276,0.928,0.315,0.926
29324,0.859,0.102,0.782,0.609,0.01,0.479,0.08,0.764,0.415,0.47
7714,0.021,0.2686,0.825,0.197,0.441,0.515,0.021,0.572,0.473,0.189
31930,0.801,0.5326000000000001,0.743,0.773,0.498,0.783,0.14,0.274,0.232,0.505
15783,0.489,0.5036,0.228,0.871,0.625,0.277,0.389,0.304,0.441,0.079
25836,0.455,0.5976000000000001,0.959,0.099,0.502,0.13,0.992,0.978,0.36,0.336
33507,0.393,0.947,0.705,0.227,0.749,0.854,0.65,0.519,0.332,0.823
5570,0.496,0.868,0.33,0.804,0.196,0.078,0.576,0.517,0.856,0.502
33778,0.708,0.42379999999999995,0.113,0.081,0.499,0.438,0.783,0.203,0.229,0.651
27447,0.993,0.581,0.118,0.149,0.106,0.898,0.17,0.347,0.47,0.621
18798,0.622,0.263,0.611,0.548,0.022,0.883,0.021,0.999,0.846,0.717
34231,0.303,0.5008,0.991,0.34,0.671,0.984,0.267,0.617,0.869,0.212
38252,0.096,0.055,0.839,0.371,0.772,0.202,0.205,0.209,0.644,0.293
27879,0.487,0.2854,0.379,0.429,0.29,0.919,0.032,0.056,0.921,0.478
25769,0.949,0.973,0.583,0.869,0.998,0.142,0.399,0.394,0.774,0.361
37483,0.681,0.249,0.926,0.933,0.933,0.458,0.573,0.812,0.699,0.695
6779,0.399,0.268,0.925,0.924,0.839,0.715,0.195,0.394,0.949,0.847
6179,0.066,0.455,0.004,0.402,0.832,0.523,0.709,0.402,0.438,0.767
38361,0.246,0.979,0.626,0.447,0.906,0.008,0.392,0.257,0.178,0.103
20879,0.926,0.41019999999999995,0.226,0.195,0.49,0.757,0.927,0.392,0.73,0.873
3954,0.181,0.065,0.939,0.806,0.018,0.08,0.618,0.014,0.437,0.083
5911,0.009,0.5756,0.667,0.601,0.348,0.495,0.168,0.88,0.71,0.003
38099,0.351,0.759,0.307,0.809,0.011,0.969,0.185,0.221,0.319,0.605
28970,0.602,0.977,0.714,0.938,0.909,0.463,0.539,0.188,0.148,0.765
40138,0.283,0.5708,0.991,0.071,0.298,0.261,0.92,0.011,0.489,0.702
13637,0.485,0.173,0.722,0.004,0.001,0.49,0.831,0.806,0.234,0.278
13104,0.292,0.59,0.065,0.958,0.79,0.14,0.793,0.867,0.456,0.881
12082,0.16,0.5426,0.56,0.941,0.327,0.559,0.391,0.715,0.628,0.994
36902,0.698,0.5042,0.561,0.292,0.363,0.399,0.85,0.264,0.256,0.409
36956,0.861,0.5,0.528,0.517,0.135,0.843,0.557,0.834,0.75,0.869
4571,0.782,0.244,0.875,0.301,0.073,0.53,0.03,0.566,0.284,0.496
10671,0.156,0.3964,0.045,0.671,0.459,0.116,0.74,0.513,0.659,0.097
38048,0.368,0.379,0.053,0.427,0.064,0.368,0.774,0.154,0.942,0.544
18282,0.493,0.931,0.012,0.474,0.749,0.185,0.374,0.352,0.844,0.059
26931,0.858,0.579,0.841,0.095,0.831,0.269,0.219,0.079,0.542,0.183
14839,0.742,0.6504000000000001,0.648,0.077,0.35,0.091,0.553,0.749,0.762,0.929
35275,0.623,0.728,0.689,0.091,0.725,0.388,0.215,0.162,0.863,0.312
39878,0.2,0.114,0.624,0.976,0.796,0.176,0.029,0.713,0.864,0.548
34725,0.061,0.654,0.712,0.973,0.74,0.021,0.343,0.634,0.721,0.649
20482,0.717,0.748,0.644,0.953,0.055,0.365,0.701,0.542,0.032,0.301
6535,0.463,0.44719999999999993,0.647,0.158,0.643,0.857,0.876,0.237,0.678,0.738
29497,0.792,0.329,0.53,0.635,0.035,0.712,0.641,0.394,0.719,0.272
22865,0.544,0.3344,0.916,0.909,0.239,0.244,0.566,0.697,0.982,0.908
19038,0.438,0.357,0.962,0.095,0.817,0.01,0.345,0.739,0.594,0.576
24651,0.413,0.5469999999999999,1.0,0.525,0.429,0.566,0.354,0.503,0.759,0.763
26011,0.8,0.735,0.905,0.671,0.059,0.448,0.648,0.724,0.622,0.816
18126,0.652,0.178,0.587,0.096,0.005,0.955,0.55,0.36,0.898,0.522
14174,0.328,0.4206,0.73,0.706,0.296,0.351,0.125,0.634,0.335,0.869
30667,0.863,0.666,0.584,0.08,0.207,0.933,0.34,0.806,0.288,0.162
18730,0.75,0.48500000000000004,0.222,0.408,0.323,0.729,0.223,0.35,0.863,0.495
35499,0.509,0.472,0.46,0.943,0.064,0.972,0.004,0.919,0.794,0.933
5508,0.425,0.245,0.654,0.11,0.91,0.033,0.543,0.075,0.08,0.251
31623,0.429,0.5416000000000001,0.158,0.65,0.649,0.558,0.005,0.693,0.684,0.047
92,0.015,0.92,0.801,0.158,0.977,0.417,0.203,0.383,0.259,0.275
3915,0.88,0.671,0.492,0.749,0.797,0.185,0.599,0.89,0.41,0.562
39508,0.172,0.039,0.134,0.571,0.762,0.831,0.986,0.769,0.998,0.772
10299,0.128,0.129,0.018,0.697,0.858,0.353,0.422,0.368,0.786,0.418
7091,0.074,0.064,0.948,0.687,0.187,0.701,0.067,0.322,0.273,0.06
39422,0.673,0.27940000000000004,0.597,0.282,0.691,0.476,0.996,0.422,0.14,0.103
9150,0.811,0.319,0.457,0.45,0.489,0.325,0.178,0.932,0.719,0.515
17867,0.09,0.371,0.09,0.514,0.324,0.492,0.019,0.347,0.738,0.485
32644,0.845,0.827,0.944,0.638,0.062,0.902,0.815,0.662,0.863,0.221
775,0.72,0.49799999999999994,0.918,0.198,0.357,0.555,0.479,0.659,0.429,0.42
31121,0.556,0.074,0.809,0.343,0.007,0.945,0.879,0.952,0.374,0.339
35623,0.441,0.28880000000000006,0.558,0.596,0.501,0.053,0.665,0.785,0.691,0.665
14207,0.735,0.805,0.027,0.552,0.797,0.458,0.236,0.427,0.843,0.111
19297,0.776,0.5376,0.062,0.394,0.47,0.33,0.92,0.612,0.528,0.104
22939,0.128,0.619,0.744,0.872,0.066,0.73,0.078,0.291,0.461,0.101
28282,0.837,0.131,0.865,0.06,0.206,0.367,0.418,0.992,0.004,0.296
34078,0.404,0.801,0.217,0.188,0.762,0.538,0.799,0.861,0.572,0.661
3781,0.604,0.469,0.477,0.556,0.572,0.39,0.904,0.792,0.046,0.135
16431,0.24,0.4064,0.494,0.021,0.636,0.295,0.545,0.872,0.739,0.685
14699,0.938,0.967,0.979,0.224,0.818,0.811,0.984,0.694,0.295,0.752
12472,0.246,0.182,0.75,0.468,0.751,0.348,0.721,0.081,0.57,0.468
39674,0.198,0.354,0.54,0.746,0.796,0.268,0.617,0.212,0.708,0.599
26168,0.947,0.674,0.014,0.026,0.125,0.736,0.286,0.713,0.144,0.321
5735,0.432,0.595,0.222,0.75,0.427,0.216,0.528,0.689,0.838,0.93
89,0.368,0.963,0.3,0.357,0.812,0.101,0.591,0.472,0.674,0.814
40655,0.645,0.3692,0.41,0.844,0.699,0.773,0.856,0.874,0.344,0.906
8028,0.516,0.559,0.792,0.737,0.288,0.574,0.395,0.107,0.05,0.786
39613,0.95,0.272,0.135,0.981,0.862,0.894,0.139,0.116,0.579,0.63
11832,0.534,0.138,0.136,0.116,0.023,0.341,0.32,0.507,0.172,0.537
28197,0.867,0.599,0.357,0.207,0.549,0.149,0.12,0.45,0.992,0.09
35171,0.802,0.48039999999999994,0.072,0.049,0.619,0.419,0.776,0.17,0.076,0.397
53,0.767,0.5408,0.272,0.606,0.621,0.242,0.232,0.458,0.106,0.287
3160,0.795,0.4936,0.696,0.516,0.428,0.773,0.91,0.603,0.644,0.951
12327,0.376,0.552,0.792,0.13,0.049,0.316,0.126,0.005,0.847,0.161
5484,0.1,0.122,0.763,0.796,0.177,0.203,0.737,0.759,0.102,0.763
5910,0.852,0.034,0.842,0.441,0.792,0.776,0.034,0.631,0.308,0.461
13325,0.933,0.354,0.178,0.376,0.617,0.733,0.119,0.848,0.06,0.21
963,0.616,0.992,0.633,0.497,0.809,0.39,0.002,0.892,0.554,0.453
5685,0.378,0.4422,0.83,0.723,0.697,0.951,0.471,0.349,0.354,0.405
13048,0.434,0.32199999999999995,0.476,0.776,0.662,0.611,0.989,0.272,0.831,0.073
38589,0.179,0.052,0.365,0.71,0.9,0.781,0.601,0.917,0.097,0.572
11081,0.675,0.824,0.314,0.556,0.904,0.904,0.082,0.478,0.361,0.08
27174,0.042,0.849,0.59,0.56,0.052,0.538,0.593,0.33,0.685,0.329
39802,0.366,0.368,0.003,0.936,0.155,0.707,0.811,0.672,0.196,0.226
23425,0.969,0.40099999999999997,0.558,0.509,0.427,0.229,0.227,0.036,0.946,0.555
24942,0.332,0.468,0.447,0.716,0.822,0.873,0.592,0.368,0.043,0.351
36015,0.661,0.947,0.4,0.135,0.032,0.701,0.04,0.582,0.365,0.872
10365,0.807,0.722,0.704,0.304,0.838,0.79,0.446,0.282,0.689,0.058
11783,0.934,0.392,0.193,0.445,0.741,0.12,0.792,0.463,0.628,0.231
310,0.995,0.787,0.876,0.022,0.97,0.308,0.552,0.266,0.992,0.872
9087,0.58,0.394,0.395,0.879,0.197,0.811,0.052,0.229,0.733,0.709
4589,0.951,0.033,0.251,0.219,0.896,0.22,0.216,0.695,0.072,0.477
32923,0.981,0.5694,0.77,0.111,0.353,0.078,0.325,0.802,0.28,0.099
13926,0.513,0.679,0.525,0.876,0.78,0.208,0.733,0.38,0.53,0.848
22832,0.537,0.182,0.96,0.144,0.136,0.575,0.42,0.549,0.454,0.293
1247,0.789,0.833,0.721,0.72,0.091,0.824,0.968,0.112,0.158,0.217
24836,0.291,0.078,0.054,0.856,0.895,0.616,0.359,0.006,0.969,0.555
24725,0.878,0.04,0.873,0.44,0.155,0.099,0.749,0.398,0.199,0.698
2731,0.903,0.96,0.412,0.669,0.893,0.877,0.696,0.085,0.162,0.403
32166,0.068,0.547,0.003,0.75,0.788,0.364,0.147,0.847,0.691,0.071
14190,0.776,0.648,0.177,0.221,0.006,0.274,0.811,0.26,0.151,0.418
33250,0.413,0.074,0.975,0.581,0.744,0.893,0.33,0.44,0.385,0.899
22862,0.484,0.4462,0.302,0.464,0.57,0.996,0.195,0.573,0.812,0.272
32697,0.652,0.489,0.675,0.314,0.512,0.245,0.486,0.936,0.331,0.14
32652,0.839,0.827,0.275,0.032,0.013,0.453,0.13,0.708,0.441,0.477
32057,0.306,0.3358,0.075,0.548,0.567,0.786,0.415,0.479,0.377,0.398
13114,0.417,0.486,0.664,0.918,0.858,0.95,0.87,0.175,0.13,0.563
4573,0.8,0.354,0.45,0.089,0.85,0.603,0.19,0.486,0.975,0.646
27299,0.458,0.031,0.933,0.196,0.88,0.732,0.965,0.647,0.529,0.253
10013,0.444,0.5174,0.227,0.388,0.38,0.432,0.341,0.22,0.985,0.887
22683,0.144,0.5356,0.581,0.208,0.634,0.295,0.27,0.342,0.01,0.757
3038,0.222,0.2892,0.543,0.752,0.467,0.792,0.215,0.188,0.402,0.022
17497,0.325,0.53,0.498,0.882,0.112,0.489,0.771,0.711,0.08,0.042
20550,0.638,0.47920000000000007,0.399,0.244,0.676,0.044,0.365,0.219,0.496,0.717
35076,0.564,0.078,0.051,0.66,0.817,0.726,0.902,0.518,0.027,0.536
12701,0.112,0.3976,0.555,0.211,0.593,0.108,0.843,0.801,0.664,0.305
8296,0.703,0.3418,0.185,0.91,0.306,0.289,0.302,0.64,0.0,0.651
26496,0.521,0.6728,0.379,0.906,0.522,0.983,0.515,0.496,0.115,0.746
14518,0.481,0.456,0.515,0.046,0.046,0.716,0.993,0.753,0.853,0.145
17298,0.998,0.276,0.413,0.684,0.795,0.322,0.184,0.553,0.975,0.855
25508,0.802,0.872,0.727,0.952,0.049,0.524,0.043,0.506,0.475,0.488
19244,0.138,0.5767999999999999,0.538,0.778,0.671,0.942,0.653,0.065,0.531,0.433
32077,0.963,0.24320000000000003,0.267,0.067,0.552,0.179,0.198,0.324,0.688,0.453
23258,0.22,0.6448,0.459,0.342,0.482,0.44,0.297,0.54,0.961,0.798
34167,0.168,0.455,0.414,0.472,0.729,0.067,0.08,0.052,0.888,0.213
30635,0.997,0.754,0.321,0.797,0.79,0.47,0.568,0.601,0.498,0.163
23695,0.426,0.3466,0.13,0.723,0.598,0.246,0.935,0.245,0.809,0.032
34282,0.255,0.6392,0.236,0.435,0.28,0.121,0.717,0.246,0.741,0.644
4140,0.846,0.368,0.856,0.253,0.061,0.395,0.705,0.065,0.666,0.299
13365,0.74,0.43520000000000003,0.479,0.619,0.575,0.757,0.268,0.538,0.06,0.665
21687,0.114,0.928,0.787,0.041,0.01,0.598,0.863,0.791,0.915,0.637
17759,0.062,0.6092000000000001,0.796,0.507,0.52,0.901,0.272,0.174,0.937,0.874
17538,0.784,0.4194,0.411,0.112,0.442,0.016,0.417,0.324,0.316,0.799
29149,0.179,0.4508,0.266,0.478,0.561,0.491,0.299,0.253,0.651,0.112
36511,0.155,0.38,0.887,0.598,0.496,0.254,0.317,0.077,0.714,0.018
187,0.597,0.5318,0.776,0.086,0.477,0.98,0.598,0.96,0.744,0.907
14474,0.481,0.975,0.073,0.303,0.133,0.515,0.741,0.371,0.722,0.283
30006,0.442,0.36920000000000003,0.074,0.271,0.265,0.411,0.91,0.837,0.417,0.248
32932,0.193,0.3216,0.598,0.514,0.253,0.804,0.81,0.745,0.315,0.527
21460,0.714,0.428,0.927,0.793,0.047,0.539,0.623,0.062,0.486,0.673
4638,0.045,0.897,0.953,0.346,0.923,0.752,0.776,0.492,0.414,0.778
33071,0.964,0.711,0.466,0.56,0.927,0.355,0.724,0.642,0.087,0.264
39164,0.791,0.2834,0.622,0.236,0.417,0.002,0.066,0.196,0.387,0.147
21222,0.787,0.768,0.744,0.727,0.074,0.131,0.306,0.326,0.8,0.941
9591,0.823,0.815,0.946,0.886,0.076,0.111,0.004,0.914,0.784,0.306
14922,0.095,0.4878,0.493,0.913,0.431,0.434,0.119,0.923,0.188,0.752
25621,0.081,0.524,0.139,0.538,0.64,0.123,0.793,0.193,0.841,0.272
35397,0.233,0.5546,0.52,0.757,0.702,0.078,0.52,0.845,0.364,0.36
1712,0.918,0.4702,0.547,0.939,0.498,0.528,0.566,0.643,0.371,0.224
2440,0.729,0.531,0.695,0.371,0.901,0.544,0.793,0.872,0.67,0.871
22728,0.518,0.142,0.323,0.43,0.826,0.71,0.627,0.98,0.945,0.88
29174,0.826,0.514,0.926,0.1,0.482,0.276,0.712,0.524,0.539,0.093
29632,0.413,0.3922,0.179,0.986,0.581,0.358,0.416,0.514,0.862,0.629
12639,0.131,0.491,0.213,0.678,0.038,0.257,0.578,0.178,0.495,0.542
20631,0.749,0.259,0.868,0.049,0.94,0.762,0.785,0.243,0.388,0.284
36110,0.683,0.45999999999999996,0.458,0.642,0.718,0.187,0.177,0.525,0.805,0.032
11405,0.08,0.6482,0.639,0.855,0.361,0.114,0.384,0.426,0.151,0.654
2236,0.339,0.326,0.877,0.466,0.212,0.17,0.926,0.761,0.211,0.347
9044,0.895,0.682,0.717,0.424,0.818,0.181,0.129,0.525,0.852,0.958
37635,0.661,0.579,0.167,0.056,0.997,0.383,0.521,0.236,0.914,0.744
15334,0.283,0.3754,0.872,0.46,0.668,0.771,0.492,0.652,0.419,0.972
2547,0.337,0.4612,0.508,0.509,0.427,0.697,0.091,0.894,0.947,0.282
33168,0.432,0.372,0.548,0.748,0.976,0.032,0.969,0.324,0.771,0.928
1721,0.727,0.6052,0.185,0.078,0.362,0.749,0.209,0.489,0.111,0.943
20771,0.181,0.6728,0.682,0.735,0.356,0.972,0.242,0.715,0.459,0.823
39672,0.903,0.062,0.915,0.742,0.963,0.695,0.916,0.177,0.712,0.298
19263,0.533,0.481,0.006,0.556,0.085,0.44,0.851,0.576,0.562,0.679
36209,0.723,0.211,0.232,0.895,0.983,0.888,0.31,0.118,0.722,0.645
90,0.591,0.509,0.108,0.051,0.256,0.102,0.642,0.893,0.813,0.626
12597,0.476,0.863,0.534,0.05,0.739,0.518,0.753,0.074,0.758,0.507
18679,0.868,0.452,0.047,0.799,0.92,0.614,0.237,0.84,0.717,0.565
39186,0.979,0.855,0.696,0.262,0.728,0.274,0.143,0.778,0.005,0.8
27989,0.137,0.41419999999999996,0.275,0.165,0.492,0.229,0.605,0.927,0.39,0.733
8285,0.671,0.587,0.03,0.324,0.022,0.291,0.722,0.245,0.627,0.103
2510,0.891,0.49060000000000004,0.114,0.467,0.592,0.484,0.655,0.017,0.885,0.174
27817,0.304,0.437,0.726,0.729,0.097,0.99,0.7,0.09,0.502,0.143
36376,0.236,0.928,0.89,0.333,0.018,0.526,0.955,0.272,0.109,0.851
27271,0.634,0.26280000000000003,0.802,0.139,0.403,0.478,0.929,0.046,0.663,0.775
34677,0.841,0.689,0.528,0.266,0.799,0.775,0.63,0.682,0.798,0.29
742,0.746,0.266,0.35,0.562,0.149,0.816,0.074,0.759,0.206,0.768
21221,0.324,0.0,0.698,0.951,0.915,0.66,0.383,0.725,0.497,0.393
23133,0.065,0.395,0.486,0.044,0.972,0.419,0.604,0.293,0.051,0.757
18648,0.356,0.5067999999999999,0.281,0.718,0.267,0.079,0.314,0.227,0.323,0.719
16144,0.06,0.5502,0.719,0.311,0.384,0.61,0.842,0.895,0.228,0.907
38448,0.211,0.763,0.683,0.912,0.92,0.164,0.786,0.374,0.406,0.491
36638,0.243,0.329,0.723,0.84,0.395,0.1,0.73,0.687,0.309,0.951
12547,0.981,0.403,0.509,0.907,0.834,0.844,0.548,0.835,0.006,0.226
8101,0.466,0.4284,0.71,0.077,0.287,0.912,0.975,0.277,0.296,0.353
27178,0.682,0.6020000000000001,0.34,0.759,0.451,0.075,0.801,0.274,0.056,0.064
30529,0.079,0.7902000000000001,0.466,0.645,0.345,0.324,0.703,0.23,0.158,0.864
23228,0.383,0.051,0.048,0.842,0.935,0.182,0.409,0.118,0.038,0.031
334,0.359,0.40840000000000004,0.88,0.047,0.452,0.658,0.165,0.792,0.058,0.726
13464,0.206,0.5998,0.338,0.024,0.408,0.52,0.616,0.897,0.074,0.407
39216,0.031,0.951,0.0,0.204,0.004,0.3,0.239,0.52,0.833,0.306
33355,0.645,0.4514,0.892,0.846,0.489,0.15,0.698,0.573,0.245,0.39
7787,0.815,0.356,0.786,0.731,0.097,0.524,0.746,0.33,0.864,0.111
6164,0.623,0.578,0.224,0.813,0.972,0.368,0.812,0.731,0.932,0.518
34878,0.247,0.6631999999999999,0.708,0.313,0.277,0.484,0.219,0.518,0.829,0.124
25015,0.914,0.168,0.298,0.279,0.168,0.348,0.612,0.368,0.939,0.139
14540,0.026,0.139,0.123,0.805,0.063,0.485,0.657,0.914,0.446,0.589
34154,0.935,0.5574,0.423,0.009,0.249,0.166,0.687,0.899,0.181,0.894
9539,0.766,0.463,0.434,0.72,0.062,0.659,0.997,0.781,0.617,0.857
34454,0.344,0.485,0.077,0.298,0.051,0.367,0.756,0.313,0.873,0.806
24699,0.391,0.867,0.39,0.17,0.888,0.776,0.893,0.693,0.258,0.885
30320,0.249,0.7352000000000001,0.071,0.265,0.288,0.682,0.868,0.327,0.168,0.303
7794,0.907,0.06,0.238,0.344,0.202,0.681,0.983,0.31,0.916,0.012
33728,0.405,0.102,0.378,0.367,0.982,0.402,0.66,0.835,0.269,0.677
14237,0.39,0.958,0.842,0.661,0.788,0.607,0.676,0.575,0.443,0.448
1317,0.205,0.25680000000000003,0.528,0.698,0.309,0.311,0.655,0.512,0.979,0.662
24963,0.654,0.5890000000000001,0.273,0.215,0.457,0.509,0.555,0.072,0.067,0.254
4970,0.108,0.5534000000000001,0.804,0.266,0.334,0.621,0.1,0.32,0.861,0.596
10530,0.135,0.705,0.795,0.3,0.134,0.132,0.988,0.156,0.346,0.582
17217,0.115,0.518,0.99,0.525,0.866,0.545,0.355,0.244,0.538,0.383
14295,0.081,0.5636,0.951,0.489,0.494,0.757,0.627,0.926,0.058,0.068
10183,0.465,0.032,0.236,0.254,0.733,0.543,0.561,0.062,0.536,0.937
130,0.785,0.6148,0.365,0.378,0.675,0.289,0.651,0.155,0.226,0.542
28076,0.103,0.46699999999999997,0.224,0.35,0.507,0.364,0.877,0.619,0.37,0.173
11578,0.245,0.779,0.357,0.768,0.01,0.543,0.147,0.576,0.17,0.656
32014,0.297,0.5898,0.866,0.838,0.456,0.164,0.035,0.44,0.302,0.762
14486,0.362,0.6002,0.414,0.596,0.609,0.795,0.684,0.06,0.704,0.77
29494,0.935,0.259,0.412,0.969,0.996,0.953,0.622,0.083,0.736,0.782
37546,0.947,0.893,0.226,0.249,0.988,0.837,0.87,0.471,0.885,0.269
8190,0.114,0.2926,0.708,0.061,0.32,0.062,0.879,0.246,0.268,0.038
22526,0.841,0.45380000000000004,0.338,0.539,0.498,0.718,0.467,0.1,0.557,0.911
29646,0.094,0.495,0.344,0.838,0.959,0.232,0.632,0.375,0.913,0.727
36561,0.32,0.463,0.258,0.766,0.916,0.111,0.048,0.728,0.478,0.586
24383,0.726,0.38880000000000003,0.911,0.368,0.676,0.525,0.853,0.977,0.671,0.441
24635,0.861,0.354,0.164,0.086,0.145,0.904,0.915,0.893,0.421,0.388
18486,0.612,0.514,0.731,0.517,0.967,0.187,0.634,0.206,0.681,0.129
2834,0.215,0.66,0.875,0.714,0.851,0.135,0.071,0.827,0.909,0.676
8592,0.297,0.35100000000000003,0.896,0.77,0.505,0.174,0.867,0.304,0.648,0.289
32952,0.273,0.746,0.736,0.872,0.951,0.154,0.004,0.623,0.71,0.054
27622,0.167,0.5858000000000001,0.111,0.394,0.393,0.153,0.528,0.808,0.734,0.979
35802,0.133,0.4864,0.323,0.101,0.273,0.952,0.615,0.923,0.093,0.298
15177,0.095,0.827,0.129,0.534,0.898,0.701,0.555,0.627,0.352,0.552
13185,0.834,0.47459999999999997,0.088,0.389,0.569,0.419,0.756,0.918,0.434,0.168
29004,0.111,0.5822,0.05,0.764,0.626,0.626,0.128,0.304,0.107,0.598
12423,0.942,0.4586,0.09,0.969,0.544,0.113,0.29,0.094,0.994,0.485
5561,0.618,0.6235999999999999,0.076,0.43,0.403,0.979,0.302,0.237,0.392,0.285
36128,0.358,0.584,0.938,0.162,0.164,0.104,0.681,0.682,0.638,0.545
35519,0.067,0.565,0.871,0.986,0.948,0.748,0.209,0.43,0.506,0.458
33280,0.813,0.042,0.576,0.109,0.968,0.922,0.177,0.483,0.807,0.595
27476,0.413,0.105,0.134,0.378,0.01,0.08,0.369,0.845,0.351,0.358
14381,0.778,0.36119999999999997,0.781,0.824,0.224,0.238,0.007,0.153,0.914,0.962
34031,0.523,0.5194,0.924,0.046,0.44,0.983,0.582,0.407,0.039,0.494
2931,0.902,0.38,0.302,0.236,0.987,0.96,0.293,0.715,0.484,0.068
11897,0.998,0.403,0.324,0.76,0.44,0.883,0.931,0.76,0.05,0.228
194,0.344,0.375,0.276,0.799,0.502,0.611,0.486,0.106,0.814,0.315
9632,0.671,0.689,0.379,0.984,0.818,0.434,0.893,0.939,0.781,0.765
14111,0.364,0.352,0.362,0.706,0.334,0.35,0.228,0.667,0.062,0.045
9793,0.811,0.978,0.338,0.313,0.077,0.219,0.308,0.983,0.395,0.848
29036,0.973,0.6676,0.173,0.224,0.456,0.269,0.746,0.475,0.747,0.736
26979,0.907,0.68,0.493,0.983,0.789,0.302,0.305,0.901,0.011,0.454
26513,0.502,0.685,0.772,0.288,0.213,0.064,0.336,0.144,0.235,0.279
