,ln(VOTES/POP),POP,EDUCATION,HOUSES,INCOME,XCOORD
1037,-0.876596,9.585896,8.917445,8.286017,11.6405,-86218205.0
212,-0.541823,11.355382,10.717546,10.01297,,-121882611.0
12,-0.535411,9.809946,8.915969,8.858084,,-87835981.0
3006,-0.645653,10.369954,9.505395,9.391328,,-82433107.0
422,-0.989492,9.811372,8.721439,8.790117,11.808442,-83529331.0
2144,-0.467496,9.031572,8.393216,8.104099,11.224536,-97237596.0
1114,-0.443418,9.679719,8.643297,8.618666,11.742663,-91600420.0
1832,-0.813467,12.427603,11.876394,11.153461,14.796454,-74140403.0
1411,-0.697916,10.110298,9.159889,9.142276,,-88485251.0
2794,-0.639374,9.315961,8.065265,8.224432,,-77858651.0
2233,-0.796489,11.308137,10.599157,10.277668,13.539064,-77723804.0
2972,-0.474799,8.886409,7.895436,7.936303,,-78863351.0
2126,-0.573919,8.685247,7.853605,7.753194,,-97840491.0
1940,-0.71588,7.938446,6.734592,6.975414,,-76165131.0
2063,-0.577055,9.784591,9.156412,8.896999,,-82797934.0
509,-1.013496,10.720908,9.718603,9.645494,12.977878,-84966155.0
644,-0.446999,9.742967,9.081597,8.836083,11.980363,-88809255.0
597,-0.354659,8.987322,8.198089,8.111628,11.185754,-88149320.0
990,-0.697541,9.067393,7.987524,8.076826,,-83694660.0
1133,-1.016245,10.521938,9.616672,9.101083,12.465537,-93186452.0
1613,-0.292152,8.846641,8.363576,7.771489,11.057487,-106662747.0
809,-0.598131,9.028459,8.473868,8.093768,,-91261528.0
2739,-0.259114,7.935587,7.501634,7.092574,9.975203,-113228751.0
518,-0.376625,8.631414,8.040125,7.724005,10.892378,-116655416.0
2490,-0.33244,7.30317,6.776507,6.381816,9.580524,-101352778.0
573,-0.5613,15.148351,14.509603,13.795122,,-87650174.0
3032,-0.289763,8.740817,7.998671,7.776535,10.597584,-88777119.0
2823,-0.565825,10.487545,9.794509,9.519221,,-77491262.0
1727,-0.514182,10.342839,9.829518,9.315331,,-71424962.0
2783,-0.768733,10.651099,9.976087,9.341369,12.989992,-78556228.0
840,-0.520345,8.731013,8.165079,7.851661,,-91953155.0
2543,-0.799726,9.476314,8.610319,8.404024,11.69899,-102602399.0
1538,-0.418835,8.764053,7.992607,7.853605,10.669699,-93774116.0
123,-0.691938,10.049404,9.247251,9.055323,,-91853009.0
1269,-0.436924,10.24153,9.570808,9.358502,12.396528,-82639649.0
220,-0.491806,11.866262,11.436617,10.655564,,-105357295.0
3010,-0.630544,11.10817,10.501692,10.119002,,-81514126.0
358,-0.47939,7.834392,6.391917,6.716595,,-84454013.0
2107,-0.571242,8.3673,7.367077,7.408531,,-96300670.0
1924,-1.012686,9.939868,8.966739,8.843471,11.971527,-78976731.0
1738,-0.44253,13.378942,12.916399,12.188021,15.968758,-74074366.0
259,-0.141823,7.232733,6.862758,6.287859,9.475163,-107765790.0
2870,-0.89214,10.468858,9.459541,9.503532,12.585389,-81563049.0
2377,-0.381148,8.90014,8.16166,7.855932,10.786159,-96947565.0
927,-0.360137,7.998335,7.471363,7.094235,10.127111,-101073866.0
2641,-0.993914,9.006264,7.845416,7.758333,10.884648,-95930373.0
2436,-0.709545,12.384461,11.71135,11.21948,,-83937408.0
1078,-0.462394,10.375832,9.60245,9.404179,12.663431,-90909113.0
2494,-0.462723,8.582419,8.042378,7.741099,10.73075,-99230642.0
1207,-0.552548,10.442697,9.819562,9.53539,,-85993318.0
2275,-0.543739,10.988271,10.456597,9.728896,,-71262391.0
1795,-0.544995,10.941837,10.285513,9.85917,,-76561355.0
2968,-0.435011,8.866864,7.909122,7.940584,10.806794,-79196749.0
2411,-0.6962,9.952182,9.046644,9.030974,,-87361508.0
456,-0.98332,9.241742,8.255569,8.116716,11.27364,-83913119.0
462,-0.678267,9.060099,8.35679,8.069029,,-83437276.0
2306,-0.884946,10.511757,9.552013,9.497322,12.635427,-80704349.0
2881,-0.796032,10.382203,9.570041,8.844625,12.531112,-78485745.0
1614,-0.314158,7.428927,6.947937,6.51323,9.495143,-109844224.0
1370,-0.5943,9.296977,8.327001,8.349248,,-89336877.0
381,-0.89205,9.645105,8.413165,8.678632,11.612409,-85345765.0
976,-0.680751,8.790878,7.850493,7.690743,,-85127841.0
1157,-0.698923,12.486689,11.921652,11.350336,,-76569358.0
1765,-0.630448,10.39565,9.742614,9.397069,,-104298400.0
1575,-0.421645,10.497698,10.065606,9.539932,12.759705,-114018737.0
1402,-0.405945,9.029298,8.122668,8.174703,11.096197,-90107301.0
1251,-0.586037,11.405095,10.747638,10.433027,,-83499532.0
2778,-0.562182,10.657777,10.10651,9.555206,,-73035050.0
2256,-0.555131,14.039495,13.230258,12.842906,,-75134678.0
59,-0.432462,9.31416,8.286773,8.181161,11.213279,-88193795.0
1220,-0.370392,9.60562,9.046762,8.728102,11.533238,-89790638.0
2955,-0.648553,10.390932,9.643031,8.813438,,-117519057.0
1103,-0.662915,11.550838,10.815529,10.420554,,-92063915.0
2801,-0.641854,9.060331,7.867489,8.037866,,-78661932.0
2446,-0.673873,10.884367,10.122623,9.772638,,-88838707.0
2373,-0.285309,8.440096,7.91972,7.46049,10.512329,-96672420.0
1309,-0.404133,9.01809,8.321665,8.159947,11.136762,-93298400.0
1576,-0.407672,10.393937,9.81055,9.089415,12.531285,-111173513.0
542,-0.394663,10.003242,9.38656,8.702676,12.12904,-116705859.0
1886,-0.868267,9.982206,8.948326,8.850947,11.886872,-78284402.0
1360,-0.363001,8.684909,8.020599,7.735433,10.865,-96471038.0
1270,-0.323554,8.706987,8.023552,7.807103,10.721106,-86187326.0
1904,-0.89916,10.165313,9.412628,9.146442,12.354743,-79172288.0
903,-0.309812,8.065579,7.548029,7.226936,10.112532,-98211032.0
1829,-0.50347,10.871289,10.462846,9.872874,,-73746355.0
2508,-0.51657,8.628198,7.533159,7.583248,,-98211783.0
999,-0.56257,8.993552,7.808323,8.071531,,-85554480.0
1457,-0.64497,10.204629,9.320629,9.215129,,-90403177.0
1406,-0.485496,9.927741,9.144841,8.963544,,-90452095.0
2996,-0.5927,10.18735,9.550591,9.300455,,-81905932.0
3056,-0.38954,11.382532,10.83145,10.36697,13.749107,-88461577.0
2526,-0.680549,8.973098,8.039157,8.034631,,-99454126.0
2507,-0.455772,7.50329,6.72263,6.565265,9.560997,-101206877.0
1809,-0.431785,10.309852,9.684212,9.29321,12.411358,-74128747.0
1034,-0.562355,9.847711,9.11954,9.006141,,-88335219.0
435,-0.899436,9.412219,8.218787,8.285513,11.251301,-82415300.0
2588,-0.504578,8.646641,7.712891,7.751045,,-99729590.0
237,-0.253395,7.488294,7.231287,6.610696,9.869569,-105519522.0
2578,-0.751527,10.395467,9.643161,9.355998,12.542595,-97948367.0
1091,-0.54044,9.782957,8.836229,8.805825,,-93735952.0
109,-0.658178,9.720946,8.990442,8.76655,,-93664959.0
781,-0.431112,9.346007,8.915029,8.434681,11.650354,-95151784.0
2131,-0.579657,8.86517,8.056744,7.812783,,-95241651.0
163,-0.621129,9.472935,8.896314,8.422223,,-123956960.0
288,-0.81406,11.660578,10.955323,10.311283,13.734781,-82358340.0
1134,-0.442731,10.319464,9.424726,9.35876,12.324504,-90041543.0
252,-0.569875,10.971589,10.466811,9.968948,,-108468152.0
1089,-0.525894,9.390075,8.361942,8.404024,,-92994416.0
2093,-0.671627,9.426419,8.455318,8.416488,,-94658226.0
1681,-0.403025,8.499233,7.983099,7.600402,10.598807,-98046375.0
767,-0.525341,9.486835,8.972464,8.500657,,-91131895.0
787,-0.504561,8.830835,8.326759,7.850883,,-95599944.0
1398,-0.42015,8.818334,7.838343,7.843064,10.547051,-88645415.0
2321,-0.739337,9.993694,8.93142,9.019543,12.008201,-81616539.0
2172,-0.433857,12.037382,11.6516,11.056462,14.548088,-122209616.0
889,-0.516391,8.680332,8.183118,7.786967,,-98078004.0
1507,-0.469523,8.974238,7.964503,8.085795,,-90343166.0
2419,-0.840959,10.579336,9.670231,9.587475,12.556254,-82846031.0
1090,-0.513393,9.629643,8.710455,8.658693,,-91639577.0
2798,-0.871451,9.418979,8.371242,8.426831,11.484907,-77348448.0
1740,-0.581697,12.719534,12.112355,11.631384,,-74959749.0
1374,-0.704085,9.05357,7.969012,7.869019,,-90914312.0
847,-0.533608,9.671808,8.88142,8.548692,,-91843213.0
965,-0.616362,10.601199,9.898626,9.591103,,-82689394.0
2486,-0.787936,9.085231,8.264621,8.096208,11.443586,-102639393.0
461,-0.945455,10.056638,9.060447,9.011767,12.195032,-83844381.0
1425,-0.618168,9.704305,8.726319,8.745444,,-89545323.0
1553,-0.54072,9.583351,8.95519,8.61432,,-94342132.0
157,-0.572241,6.705639,6.265301,5.472271,,-119804453.0
952,-0.477034,7.614312,7.021084,6.613384,,-101347098.0
2313,-0.773395,10.033287,9.062304,9.026658,12.113222,-81599637.0
1747,-0.579105,12.343427,11.747958,11.12932,,-74699203.0
677,-0.579026,11.45039,10.745529,10.348878,,-85398211.0
2226,-0.679307,11.795628,11.264272,10.724104,,-77265050.0
978,-0.599301,9.235521,7.965198,8.299783,,-84928113.0
238,-0.438524,8.593599,8.195334,7.459915,10.969336,-106118050.0
929,-0.351101,8.67471,8.207947,7.824846,10.707796,-97650274.0
1187,-0.588164,11.596163,10.918175,10.219648,,-72664192.0
243,-0.468586,12.467702,12.136165,11.447138,,-105246813.0
100,-0.492954,8.913416,8.105308,7.987864,,-92657033.0
315,-0.655295,10.520509,9.838255,9.568644,,-81342583.0
2974,-0.527192,9.794007,9.066355,8.855806,,-81672301.0
1128,-0.552471,10.905185,9.963453,9.836439,,-90402062.0
1525,-0.514921,10.185277,9.522081,9.25646,,-93284126.0
2335,-0.198733,8.174985,7.544861,7.282074,10.029195,-97727360.0
261,-0.331727,8.095599,7.589842,7.177019,10.265628,-102348564.0
937,-0.595899,12.483356,11.991399,11.382942,,-97462020.0
2292,-0.709703,9.97292,8.993552,8.981179,,-80652023.0
195,-0.558487,11.707958,11.171449,10.46316,,-120445529.0
1914,-0.668305,10.515804,9.805103,9.560081,,-79484951.0
1094,-0.641953,9.477309,8.507345,8.26359,,-91048695.0
1871,-0.6547,9.519588,8.546364,8.611958,,-84063943.0
179,-0.896505,11.41507,10.669397,10.154635,13.645041,-120711131.0
2669,-0.727569,8.858511,8.011023,7.747597,,-102779388.0
842,-0.414127,10.063947,9.630694,9.111845,12.41051,-93560432.0
2403,-0.693147,8.617943,7.381502,7.700295,,-85543285.0
1532,-0.422699,8.751633,8.073091,7.850493,10.936903,-91528192.0
1778,-0.561798,9.829841,9.038009,8.865876,,-106697088.0
340,-0.789543,12.363704,11.667927,11.296857,14.54453,-81700070.0
1151,-0.425673,9.90947,9.361601,8.891236,12.046971,-69837587.0
2577,-0.736105,9.170351,8.218518,8.183956,11.278519,-95978548.0
748,-0.652495,10.89431,10.264931,9.856029,,-85006383.0
2999,-0.556169,9.00957,8.16451,8.060224,,-81066113.0
662,-0.506486,10.709115,10.154985,9.74736,,-85898204.0
480,-0.978221,10.398092,9.407633,9.243485,12.527438,-84284937.0
803,-0.394137,11.063022,10.494657,9.701065,13.342713,-91589563.0
2534,-1.422598,10.624906,9.748995,8.916908,12.554946,-97797886.0
1960,-0.402342,11.085613,10.542786,9.86563,13.427295,-97252187.0
2204,-0.302119,6.996681,6.487684,6.025866,9.024613,-120023209.0
2523,-0.544094,8.865029,8.03106,7.993282,,-98205021.0
549,-0.072439,7.658228,7.189922,6.816736,9.559729,-112521761.0
1228,-0.537747,9.914872,9.297068,8.872067,,-83336873.0
783,-0.504516,9.15694,8.604838,8.176392,,-94669178.0
2806,-0.567521,8.581857,7.489971,7.63337,,-78239480.0
2378,-0.187742,7.754053,7.243513,6.833032,9.440579,-98090440.0
742,-0.447125,9.483112,8.827028,8.63888,11.627387,-87462188.0
2560,-0.558501,8.357024,7.489412,7.437795,,-100398597.0
1839,-0.576113,10.100534,9.49424,9.061492,,-76828702.0
1429,-0.565148,8.817594,8.016648,7.816014,,-89123191.0
2138,-0.541519,9.360741,8.515392,8.432942,,-95665740.0
2053,-0.715193,10.052166,9.359191,8.898639,,-83401323.0
932,-0.459119,8.525955,7.975908,7.65681,10.692854,-99325564.0
2813,-0.815526,8.88142,8.04751,7.892826,10.929332,-78278911.0
1211,-0.457163,9.736842,9.036939,8.877103,11.745695,-84838425.0
247,-0.50253,9.911803,9.402777,8.795582,,-107846076.0
871,-0.566751,9.597845,9.078065,8.673342,,-97157586.0
1105,-0.582143,9.382106,8.554874,8.517993,,-92158273.0
1776,-0.916974,10.309219,9.778208,9.093469,12.389448,-105726123.0
2818,-0.566068,9.058354,8.131825,7.992945,,-77925906.0
626,-0.477798,10.21859,9.616405,9.134431,,-90198119.0
347,-0.768499,9.788526,8.93564,8.836665,11.736661,-82079177.0
278,-0.476288,13.301269,12.756059,12.070144,,-72734983.0
2953,-0.627712,10.478695,9.961851,9.296702,,-118478365.0
2366,-0.236151,8.409162,7.811973,7.46164,10.347211,-97361956.0
655,-0.564711,10.733021,10.067772,9.722565,,-89911315.0
1316,-0.316788,9.678217,9.098738,8.789355,11.919337,-93732401.0
1725,-0.497742,8.647344,8.167352,7.716015,,-114896275.0
907,-0.546747,9.908177,9.354008,8.910316,,-97647545.0
2720,-1.14016,10.437229,9.569692,8.827468,12.370981,-95573906.0
2681,-0.213754,6.678342,6.111467,5.749393,9.172742,-100806360.0
1237,-0.473041,10.715462,10.127151,9.766579,,-83224055.0
911,-0.61213,9.636261,9.103423,8.676417,,-94833526.0
2856,-0.637553,8.406932,7.499977,7.304516,,-78168603.0
632,-0.392599,9.536907,8.904223,8.611412,11.651548,-90885595.0
2005,-0.503628,9.706742,8.78263,8.723231,,-83477769.0
445,-0.54998,8.013343,6.960348,6.956545,,-81747016.0
617,-0.573327,12.087492,11.431954,11.098167,,-89908267.0
1321,-0.26763,9.088625,8.369389,8.222554,11.128233,-96377164.0
1672,-0.556958,10.137413,9.664786,9.143666,,-100745234.0
1161,-0.724393,11.126836,10.468489,10.061474,,-77023948.0
1225,-0.451344,10.142071,9.419953,9.262933,12.253667,-82835735.0
1690,-0.464562,9.048292,8.459988,8.093157,11.09398,-95718299.0
844,-0.41629,8.736007,8.148735,7.857481,10.709227,-93326465.0
2645,-0.915481,10.16331,9.324918,9.036939,12.506799,-95997565.0
547,-0.42692,9.430359,8.784622,8.49964,11.56974,-113642878.0
1913,-0.705189,9.672438,8.630522,8.700015,,-79902750.0
964,-0.770374,9.525954,8.737934,8.379309,11.612698,-84211010.0
1462,-0.462723,9.090205,8.400659,8.172164,11.21623,-93501071.0
263,-0.530019,9.088738,8.469892,8.057694,,-102395291.0
1351,-0.241624,9.01918,8.303009,7.913155,11.060652,-96000569.0
2439,-0.571051,10.079791,9.055673,9.11471,,-87393263.0
1957,-0.293744,7.96137,7.385231,7.071573,10.173477,-103519386.0
353,-0.512623,9.654257,8.828494,8.793612,,-86170814.0
1393,-0.76327,11.253377,10.638976,10.229513,13.490456,-88621916.0
208,-0.425576,9.046409,8.634976,8.044947,11.220512,-123118229.0
613,-0.492576,11.521885,11.06216,10.565273,,-88451932.0
1018,-0.706256,10.17873,9.130539,9.21144,,-84120008.0
1803,-0.641167,12.081597,11.54391,10.889136,,-73747154.0
1891,-0.770825,9.310367,8.239065,8.101375,11.292254,-77684095.0
1236,-0.345142,8.639942,7.818028,7.85632,10.485116,-85811619.0
1235,-0.212291,7.351158,6.553933,6.553933,9.147081,-88155067.0
1889,-0.337854,8.530702,7.455298,7.597396,10.413493,-83832761.0
1626,-0.588824,10.152845,9.545455,8.996157,,-99074484.0
57,-0.727592,10.24938,9.37594,9.346618,,-86318306.0
1241,-0.492689,8.458928,7.770223,7.50769,,-85590118.0
811,-0.358301,9.091895,8.432071,8.127109,11.297415,-96209069.0
2274,-0.455338,11.625843,11.04771,10.573903,13.945758,-71576875.0
561,-0.518972,9.878939,9.292657,8.83142,,-88813039.0
2123,-0.456366,8.975757,8.076826,8.070594,10.90169,-95111182.0
229,-0.599317,12.851835,12.351596,11.574011,,-104872655.0
2600,-0.781005,10.606585,9.825796,9.558812,12.733271,-96085312.0
2525,-0.452685,7.803843,7.048386,6.896694,9.991727,-100530717.0
1608,-0.29328,8.2943,7.824446,7.344073,10.349711,-109388807.0
538,-0.358229,9.222269,8.68643,8.269501,11.370647,-115459268.0
2364,-0.358599,9.168163,8.60557,8.253488,11.34222,-96721935.0
2551,-0.782331,9.618269,8.750683,8.686092,11.601339,-98827763.0
1273,-0.570094,10.729153,10.080671,9.787403,,-86308528.0
2896,-1.083618,8.725182,7.736307,7.111512,10.612656,-79444621.0
1505,-0.440378,9.262553,8.519391,8.367765,11.172391,-94353666.0
560,-0.46341,9.390326,8.571113,8.423102,11.546786,-89436160.0
2459,-0.634291,9.143452,8.080237,8.214465,,-84515542.0
707,-0.455084,11.491457,10.866356,10.531029,13.813293,-85720614.0
424,-0.775624,8.716208,7.425358,7.594884,10.484138,-83000842.0
69,-0.65125,10.824726,10.151011,9.50032,,-111768163.0
1196,-0.518252,10.923453,10.297757,10.011041,,-86250044.0
1745,-0.729649,12.92914,12.083136,11.030882,,-74075391.0
647,-0.488482,11.429805,10.864981,10.459927,,-89513191.0
2721,-0.806813,9.580662,8.665441,8.378161,11.685761,-95981994.0
1655,-0.383691,7.776954,7.288244,6.874198,9.664088,-98515411.0
3054,-0.336742,9.905735,9.212638,9.016634,11.966819,-88228660.0
3037,-0.23771,8.536996,7.927324,7.635304,10.38211,-90261543.0
2674,-0.583767,8.19561,7.21524,7.347944,,-95796204.0
2221,-0.735798,10.358314,9.610994,9.285541,12.473918,-79423449.0
2764,-0.268234,8.548692,8.101981,7.604396,10.749077,-111158793.0
620,-0.56814,9.516206,8.849371,8.599326,,-89913534.0
1190,-0.396273,13.020165,12.635554,11.834494,15.493532,-71185494.0
1298,-0.308595,9.565915,8.971067,8.633019,11.758425,-93947845.0
1011,-0.624498,13.113062,12.464224,12.016273,,-85661571.0
1730,-0.555594,10.138876,9.447623,9.091219,,-71301722.0
2254,-0.717739,11.217036,10.517889,10.227923,,-76708228.0
1602,-0.511699,9.036463,8.39163,7.991592,,-104561134.0
1042,-0.756901,9.523763,8.583543,8.474703,11.54517,-83906110.0
2761,-0.482398,9.663516,9.133351,8.669227,,-113182152.0
1511,-0.473966,9.484025,8.704834,8.619208,,-92432032.0
279,-0.401923,11.645058,11.148535,10.599281,14.064099,-73244573.0
998,-0.587319,9.583971,8.421343,8.683893,,-86345908.0
1323,-0.34787,9.567665,8.933796,8.651374,11.711432,-94527080.0
1628,-0.532976,8.809116,8.1792,7.857868,,-97132889.0
2238,-0.724767,10.452591,9.803336,9.497097,,-78999777.0
166,-0.591949,9.617404,8.985195,8.563504,,-122391742.0
1260,-0.458423,9.465912,8.81626,8.601534,11.507008,-85329671.0
1779,-0.564551,9.343647,8.588583,8.266935,,-103480021.0
553,-0.527212,9.472935,8.845921,8.511779,,-115885095.0
834,-0.47911,9.255123,8.741776,8.250881,,-95308893.0
657,-0.464584,10.639167,9.942468,9.716736,12.816468,-88929541.0
596,-0.719385,10.798044,9.938565,9.406565,,-89381489.0
2843,-0.707216,8.725182,7.959276,7.82044,,-76997788.0
802,-0.517952,9.413444,8.932477,8.352083,,-91948011.0
2216,-0.617758,11.803997,11.119838,10.728825,,-78715379.0
3091,-0.48088,9.059169,8.516393,8.050703,,-104355497.0
1593,-0.345955,8.043984,7.509883,7.167809,10.072259,-108400176.0
2817,-0.610145,9.584384,8.846353,8.67778,,-76522841.0
440,-0.838262,8.218518,7.084226,7.141245,10.045725,-83063272.0
508,-0.804861,8.902592,7.980024,7.958926,10.954274,-83752519.0
76,-0.731945,12.871114,12.353302,11.767227,15.150044,-111814821.0
589,-0.476543,9.964818,9.374498,8.932873,,-88427508.0
2079,-0.559858,10.273636,9.624567,9.280706,,-84204745.0
649,-0.539554,11.125305,10.47695,10.14506,,-87738421.0
2960,-0.433876,9.199178,8.246434,8.241176,11.04927,-80731279.0
1786,-0.396083,9.45595,8.817446,8.487764,11.404794,-105629539.0
2582,-0.495297,8.357024,7.778211,7.41216,,-101352290.0
1295,-0.303505,11.762555,11.379063,10.771575,14.326251,-93064817.0
1783,-0.600088,10.870681,10.410546,9.767668,,-105978176.0
630,-0.381942,9.651494,8.895356,8.780787,11.95854,-89368348.0
1359,-0.310681,9.103534,8.437934,8.177516,11.261099,-94614875.0
482,-0.634183,8.277666,7.068172,7.137278,,-84837038.0
1210,-0.44242,9.952421,9.275847,8.92758,11.952212,-84518518.0
